V : 0.08  , I : 0.65  , P : 0.05  , D : 0.00
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.25  , P : 22.85  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.15  , P : 20.90  , D : 0.31
V : 18.17  , I : 1.15  , P : 20.90  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 1.15  , P : 21.02  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.15  , P : 21.02  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.38  , I : 1.00  , P : 18.38  , D : 0.30
V : 18.38  , I : 1.05  , P : 19.30  , D : 0.30
V : 18.38  , I : 1.20  , P : 22.06  , D : 0.30
V : 18.38  , I : 1.00  , P : 18.38  , D : 0.30
V : 18.38  , I : 1.10  , P : 20.22  , D : 0.30
V : 18.38  , I : 1.05  , P : 19.30  , D : 0.30
V : 18.38  , I : 1.00  , P : 18.38  , D : 0.30
V : 18.38  , I : 1.00  , P : 18.38  , D : 0.30
V : 18.38  , I : 1.05  , P : 19.30  , D : 0.30
V : 18.38  , I : 1.05  , P : 19.30  , D : 0.30
V : 18.38  , I : 1.10  , P : 20.22  , D : 0.30
V : 18.38  , I : 0.95  , P : 17.46  , D : 0.30
V : 18.38  , I : 1.05  , P : 19.30  , D : 0.30
V : 18.38  , I : 1.00  , P : 18.38  , D : 0.30
V : 18.38  , I : 1.00  , P : 18.38  , D : 0.30
V : 18.38  , I : 1.05  , P : 19.30  , D : 0.30
V : 18.38  , I : 1.20  , P : 22.06  , D : 0.30
V : 18.38  , I : 1.00  , P : 18.38  , D : 0.30
V : 18.38  , I : 1.00  , P : 18.38  , D : 0.30
V : 18.38  , I : 1.00  , P : 18.38  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.15  , P : 21.02  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.20  , P : 21.93  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.15  , P : 21.02  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.15  , P : 21.02  , D : 0.30
V : 18.28  , I : 0.90  , P : 16.45  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.21  , I : 1.15  , P : 20.94  , D : 0.31
V : 18.17  , I : 1.15  , P : 20.90  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 1.10  , P : 19.76  , D : 0.31
V : 17.97  , I : 1.10  , P : 19.76  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 1.10  , P : 19.76  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 1.10  , P : 19.76  , D : 0.31
V : 17.97  , I : 1.10  , P : 19.76  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 0.95  , P : 17.07  , D : 0.31
V : 17.97  , I : 1.15  , P : 20.66  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.15  , P : 20.90  , D : 0.31
V : 18.17  , I : 1.15  , P : 20.90  , D : 0.31
V : 18.17  , I : 0.90  , P : 16.36  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 0.90  , P : 16.45  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.21  , I : 1.00  , P : 18.21  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 0.90  , P : 16.36  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.21  , I : 1.00  , P : 18.21  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 0.95  , P : 17.07  , D : 0.31
V : 17.97  , I : 1.15  , P : 20.66  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 1.10  , P : 19.76  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.10  , P : 19.76  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 1.10  , P : 19.76  , D : 0.31
V : 17.97  , I : 0.95  , P : 17.07  , D : 0.31
V : 17.97  , I : 1.15  , P : 20.66  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 18.00  , I : 1.05  , P : 18.90  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.10  , P : 19.76  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 1.15  , P : 20.66  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.15  , P : 20.90  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.21  , I : 0.95  , P : 17.30  , D : 0.31
V : 18.17  , I : 1.15  , P : 20.90  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.21  , I : 0.95  , P : 17.30  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 0.90  , P : 16.36  , D : 0.31
V : 18.17  , I : 0.85  , P : 15.45  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 0.95  , P : 17.07  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 0.95  , P : 17.07  , D : 0.31
V : 17.97  , I : 1.20  , P : 21.56  , D : 0.31
V : 18.00  , I : 1.10  , P : 19.80  , D : 0.31
V : 17.97  , I : 1.15  , P : 20.66  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 18.00  , I : 1.10  , P : 19.80  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 18.00  , I : 1.00  , P : 18.00  , D : 0.31
V : 18.00  , I : 0.95  , P : 17.10  , D : 0.31
V : 17.97  , I : 0.95  , P : 17.07  , D : 0.31
V : 17.97  , I : 0.95  , P : 17.07  , D : 0.31
V : 17.97  , I : 1.15  , P : 20.66  , D : 0.32
V : 17.86  , I : 0.95  , P : 16.97  , D : 0.32
V : 17.86  , I : 1.05  , P : 18.76  , D : 0.32
V : 17.86  , I : 1.15  , P : 20.54  , D : 0.32
V : 17.86  , I : 1.05  , P : 18.76  , D : 0.32
V : 17.86  , I : 1.00  , P : 17.86  , D : 0.32
V : 17.86  , I : 1.00  , P : 17.86  , D : 0.32
V : 17.86  , I : 1.00  , P : 17.86  , D : 0.32
V : 17.86  , I : 1.05  , P : 18.76  , D : 0.32
V : 17.86  , I : 1.05  , P : 18.76  , D : 0.32
V : 17.86  , I : 1.05  , P : 18.76  , D : 0.32
V : 17.86  , I : 1.10  , P : 19.65  , D : 0.32
V : 17.86  , I : 1.10  , P : 19.65  , D : 0.32
V : 17.86  , I : 0.90  , P : 16.08  , D : 0.32
V : 17.86  , I : 1.05  , P : 18.76  , D : 0.32
V : 17.86  , I : 1.05  , P : 18.76  , D : 0.32
V : 17.86  , I : 1.05  , P : 18.76  , D : 0.32
V : 17.86  , I : 1.05  , P : 18.76  , D : 0.32
V : 17.86  , I : 0.90  , P : 16.08  , D : 0.32
V : 17.90  , I : 1.00  , P : 17.90  , D : 0.32
V : 17.86  , I : 1.05  , P : 18.76  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 0.95  , P : 17.07  , D : 0.31
V : 17.97  , I : 0.95  , P : 17.07  , D : 0.31
V : 17.97  , I : 1.10  , P : 19.76  , D : 0.31
V : 18.00  , I : 1.00  , P : 18.00  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 1.20  , P : 21.56  , D : 0.31
V : 17.97  , I : 1.15  , P : 20.66  , D : 0.31
V : 18.00  , I : 1.15  , P : 20.70  , D : 0.31
V : 17.97  , I : 1.10  , P : 19.76  , D : 0.31
V : 18.00  , I : 1.05  , P : 18.90  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 18.00  , I : 1.00  , P : 18.00  , D : 0.31
V : 17.97  , I : 0.95  , P : 17.07  , D : 0.31
V : 18.00  , I : 1.00  , P : 18.00  , D : 0.31
V : 17.97  , I : 0.95  , P : 17.07  , D : 0.31
V : 17.97  , I : 0.95  , P : 17.07  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 0.90  , P : 16.36  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.21  , I : 1.05  , P : 19.12  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.28  , I : 1.20  , P : 21.93  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.15  , P : 21.02  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.21  , I : 1.10  , P : 20.03  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.21  , I : 1.10  , P : 20.03  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.00  , I : 1.00  , P : 18.00  , D : 0.31
V : 17.97  , I : 1.10  , P : 19.76  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.10  , P : 19.76  , D : 0.31
V : 18.00  , I : 1.00  , P : 18.00  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 18.00  , I : 1.05  , P : 18.90  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 17.97  , I : 1.00  , P : 17.97  , D : 0.31
V : 18.00  , I : 0.95  , P : 17.10  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 18.00  , I : 0.95  , P : 17.10  , D : 0.31
V : 18.00  , I : 1.10  , P : 19.80  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 17.97  , I : 0.85  , P : 15.27  , D : 0.31
V : 18.00  , I : 1.20  , P : 21.60  , D : 0.31
V : 17.97  , I : 1.05  , P : 18.86  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.21  , I : 1.05  , P : 19.12  , D : 0.31
V : 18.21  , I : 1.05  , P : 19.12  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.21  , I : 1.00  , P : 18.21  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.05  , P : 19.08  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.00  , P : 18.17  , D : 0.31
V : 18.17  , I : 0.90  , P : 16.36  , D : 0.31
V : 18.17  , I : 0.95  , P : 17.27  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.17  , I : 1.10  , P : 19.99  , D : 0.31
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.31  , I : 1.10  , P : 20.14  , D : 0.30
V : 18.28  , I : 1.05  , P : 19.19  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 0.95  , P : 17.36  , D : 0.30
V : 18.28  , I : 1.00  , P : 18.28  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
V : 18.31  , I : 1.10  , P : 20.14  , D : 0.30
V : 18.28  , I : 1.10  , P : 20.11  , D : 0.30
